127.0.0.1 - - [20/Sep/2017:18:46:47 +0530] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:03 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:03 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:07 +0530] "GET /FirstServletProject/FirstServlet HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:07 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:08 +0530] "GET /FirstServletProject/FirstServlet HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:08 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:08 +0530] "GET /FirstServletProject/FirstServlet HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:08 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:08 +0530] "GET /FirstServletProject/FirstServlet HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:08 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:10 +0530] "GET /FirstServletProject/JSPs/FirstJsp.jsp HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:11 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:11 +0530] "GET /FirstServletProject/JSPs/FirstJsp.jsp HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:11 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:11 +0530] "GET /FirstServletProject/JSPs/FirstJsp.jsp HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:11 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:11 +0530] "GET /FirstServletProject/JSPs/FirstJsp.jsp HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:11 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:14 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:14 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:14 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:14 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:14 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:14 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:18 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:18 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:18 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:47:19 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:15 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:15 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:16 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:16 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:16 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:16 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:16 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:16 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:16 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:16 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:16 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:16 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:17 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:17 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:17 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:17 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:17 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:17 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:17 +0530] "GET /test-app/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [20/Sep/2017:18:48:17 +0530] "GET /favicon.ico HTTP/1.1" 404 973
